SIGLA_INSTITUICAO,NOME_INSTITUICAO,NOME_UNIDADE_ENSINO,ANO,SIGLA_UF_UNIDADE_ENSINO,NOME_MUNICIPIO_UNIDADE_ENSINO,LATITUDE,LONGITUDE
IFPA,Instituto Federal do Pará,Campus Bragança,2008,PA,Bragança,-1.06126,-46.7826
IFB,Instituto Federal de Brasília,Campus Planaltina,2008,DF,Brasília,-15.7795,-47.9297
IFF,Instituto Federal Fluminense,Campus Cabo Frio,2008,RJ,Cabo Frio,-22.8894,-42.0286
IFMT,Instituto Federal de Mato Grosso,Campus Campo Novo do Parecis,2008,MT,Campo Novo do Parecis,-13.6587,-57.8907
IFSP,Instituto Federal de São Paulo,Campus Campos do Jordão,2008,SP,Campos do Jordão,-22.7296,-45.5833
CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Contagem,2008,MG,Contagem,-19.9321,-44.0539
IFPR,Instituto Federal do Paraná,Campus Curitiba,2008,PR,Curitiba,-25.4195,-49.2646
IFRJ,Instituto Federal do Rio de Janeiro,Campus Duque de Caxias,2008,RJ,Duque de Caxias,-22.7858,-43.3049
IFMG,Instituto Federal de Minas Gerais,Campus Formiga,2008,MG,Formiga,-20.4618,-45.4268
IFS,Instituto Federal de Sergipe,Campus Itabaiana - IFS,2008,SE,Itabaiana,-7.33167,-35.3317
IFS,Instituto Federal de Sergipe,Campus Itabaiana - IFS,2008,SE,Itabaiana,-10.6826,-37.4273
IFG,Instituto Federal de Goiás,Campus Itumbiara,2008,GO,Itumbiara,-18.4093,-49.2158
IFCE,Instituto Federal do Ceará,Campus Limoeiro do Norte,2008,CE,Limoeiro do Norte,-5.14392,-38.0847
IFES,Instituto Federal do Espírito Santo,Campus Linhares,2008,ES,Linhares,-19.3946,-40.0643
IFAL,Instituto Federal de Alagoas,Campus Maragogi,2008,AL,Maragogi,-9.00744,-35.2267
IFS,Instituto Federal de Sergipe,Campus Nossa Senhora da Glória,2008,SE,Nossa Senhora da Glória,-10.2158,-37.4211
CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Nova Friburgo,2008,RJ,Nova Friburgo,-22.2932,-42.5377
IFES,Instituto Federal do Espírito Santo,Campus Nova Venécia,2008,ES,Nova Venécia,-18.715,-40.4053
IFPR,Instituto Federal do Paraná,Campus Paranaguá,2008,PR,Paranaguá,-25.5161,-48.5225
IFPE,Instituto Federal de Pernambuco,Campus Pesqueira,2008,PE,Pesqueira,-8.35797,-36.6978
CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Petrópolis,2008,RJ,Petrópolis,-22.52,-43.1926
IFMT,Instituto Federal de Mato Grosso,Campus Pontes e Lacerda,2008,MT,Pontes e Lacerda,-15.2219,-59.3435
IFCE,Instituto Federal do Ceará,Campus Quixadá,2008,CE,Quixadá,-4.9663,-39.0155
IFPE,Instituto Federal de Pernambuco,Campus Recife,2008,PE,Recife,-8.04666,-34.8771
IFSP,Instituto Federal de São Paulo,Campus São Roque,2008,SP,São Roque,-23.5226,-47.1357
IF Farroupilha,Instituto Federal Farroupilha,Campus São Vicente do Sul,2008,RS,São Vicente do Sul,-29.6882,-54.6826
IFCE,Instituto Federal do Ceará,Campus Sobral,2008,CE,Sobral,-3.68913,-40.3482
IFG,Instituto Federal de Goiás,Campus Uruaçu,2008,GO,Uruaçu,-14.5238,-49.1396
IFPE,Instituto Federal de Pernambuco,Campus Vitória de Santo Antão,2008,PE,Vitória de Santo Antão,-8.12819,-35.2976
IFRJ,Instituto Federal do Rio de Janeiro,Campus Volta Redonda,2008,RJ,Volta Redonda,-22.5202,-44.0996
IFRN,Instituto Federal do Rio Grande do Norte,Campus Apodi,2009,RN,Apodi,-5.65349,-37.7946
IFTO,Instituto Federal do Tocantins,Campus Araguaína,2009,TO,Araguaína,-7.19238,-48.2044
IFRN,Instituto Federal do Rio Grande do Norte,Campus Caicó,2009,RN,Caicó,-6.45441,-37.1067
IFRN,Instituto Federal do Rio Grande do Norte,Campus Ipanguaçu,2009,RN,Ipanguaçu,-5.48984,-36.8501
IFF,Instituto Federal Fluminense,Campus Itaperuna,2009,RJ,Itaperuna,-21.1997,-41.8799
IFRN,Instituto Federal do Rio Grande do Norte,Campus João Câmara,2009,RN,João Câmara,-5.54094,-35.8122
IFRN,Instituto Federal do Rio Grande do Norte,Campus Macau,2009,RN,Macau,-5.10795,-36.6318
IFRN,Instituto Federal do Rio Grande do Norte,Campus Pau dos Ferros,2009,RN,Pau dos Ferros,-6.10498,-38.2077
IFRN,Instituto Federal do Rio Grande do Norte,Campus Santa Cruz,2009,RN,Santa Cruz,-6.22475,-36.0193
IFRN,Instituto Federal do Rio Grande do Norte,Campus Santa Cruz,2009,RN,Santa Cruz,-6.5237,-38.0617
IFRN,Instituto Federal do Rio Grande do Norte,Campus Santa Cruz,2009,RN,Santa Cruz,-8.24153,-40.3434
CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Valença,2009,RJ,Valença,-13.3669,-39.073
CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Valença,2009,RJ,Valença,-22.2445,-43.7129
IFMA,Instituto Federal do Maranhão,Campus Açailândia,2010,MA,Açailândia,-4.94714,-47.5004
IFCE,Instituto Federal do Ceará,Campus Acaraú,2010,CE,Acaraú,-2.88769,-40.1183
IFPE,Instituto Federal de Pernambuco,Campus Afogados da Ingazeira,2010,PE,Afogados da Ingazeira,-7.74312,-37.631
IFMA,Instituto Federal do Maranhão,Campus Alcântara,2010,MA,Alcântara,-2.39574,-44.4062
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Almenara,2010,MG,Almenara,-16.1785,-40.6942
IFRR,Instituto Federal de Roraima,Campus Amajari,2010,RR,Amajari,3.64571,-61.3692
IFG,Instituto Federal de Goiás,Campus Anápolis,2010,GO,Anápolis,-16.3281,-48.953
IFPI,Instituto Federal do Piauí,Campus Angical do Piauí,2010,PI,Angical do Piauí,-6.08786,-42.74
CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Angra dos Reis,2010,RJ,Angra dos Reis,-23.0011,-44.3196
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Araçuaí,2010,MG,Araçuaí,-16.8523,-42.0637
IFAL,Instituto Federal de Alagoas,Campus Arapiraca,2010,AL,Arapiraca,-9.75487,-36.6615
IFSP,Instituto Federal de São Paulo,Campus Araraquara,2010,SP,Araraquara,-21.7845,-48.178
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Arinos,2010,MG,Arinos,-15.9187,-46.1043
IFRO,Instituto Federal de Rondônia,Campus Ariquemes,2010,RO,Ariquemes,-9.90571,-63.0325
IFSP,Instituto Federal de São Paulo,Campus Avaré,2010,SP,Avaré,-23.1067,-48.9251
IFMA,Instituto Federal do Maranhão,Campus Bacabal,2010,MA,Bacabal,-4.22447,-44.7832
IFSul,Instituto Federal Sul-rio-grandense,Campus Bagé,2010,RS,Bagé,-31.3297,-54.0999
